StmtReplacement,decl_stmt,18507,96.14%,3.86%,0.0%,0.01%,3.86%,3.09%
StmtReplacement,return,14785,72.04%,27.96%,2.0%,9.81%,16.15%,8.24%
StmtReplacement,for,8044,78.17%,21.83%,1.48%,8.47%,11.88%,6.2%
StmtReplacement,expr_stmt,21134,61.29%,38.71%,2.02%,13.34%,23.35%,10.46%
StmtReplacement,if,12539,79.19%,20.81%,2.14%,8.07%,10.6%,5.67%
StmtReplacement,while,1630,68.4%,31.6%,0.31%,19.51%,11.78%,5.77%
StmtReplacement,continue,143,53.85%,46.15%,0.0%,0.0%,46.15%,22.38%
ComparisonOperator,operator_comp,6564,9.05%,90.95%,11.35%,29.97%,49.63%,25.27%
StmtInsertion,expr_stmt,23075,58.15%,41.85%,0.74%,7.22%,33.89%,15.21%
StmtInsertion,decl_stmt,20158,86.36%,13.64%,0.06%,2.13%,11.44%,5.61%
StmtInsertion,for,8695,75.41%,24.59%,0.4%,4.97%,19.22%,9.59%
StmtInsertion,if,13571,69.74%,30.26%,1.03%,5.5%,23.73%,11.33%
StmtInsertion,return,16333,68.13%,31.87%,1.13%,3.13%,27.61%,12.55%
StmtInsertion,while,1882,62.54%,37.46%,0.37%,15.78%,21.31%,10.47%
StmtInsertion,continue,163,57.06%,42.94%,0.0%,0.0%,42.94%,20.86%
StmtDeletion,expr_stmt,1752,11.3%,88.7%,4.85%,36.76%,47.09%,17.35%
StmtDeletion,if,1367,43.23%,56.77%,10.02%,20.85%,25.9%,10.68%
StmtDeletion,decl_stmt,1680,96.01%,3.99%,0.0%,0.0%,3.99%,3.04%
StmtDeletion,for,700,0.0%,100.0%,6.86%,48.0%,45.14%,16.0%
StmtDeletion,return,1749,77.42%,22.58%,0.57%,9.66%,12.35%,6.52%
StmtDeletion,while,175,44.0%,56.0%,1.71%,21.14%,33.14%,8.0%
StmtDeletion,continue,4,0.0%,100.0%,0.0%,0.0%,100.0%,25.0%
