ComparisonOperator,operator_comp,NA,6564,9.05%,90.95%,11.35%,29.97%,49.63%,25.27%
StmtDeletion,expr_stmt,NA,1752,11.3%,88.7%,4.85%,36.76%,47.09%,17.35%
StmtDeletion,if,NA,1367,43.23%,56.77%,10.02%,20.85%,25.9%,10.68%
StmtDeletion,decl_stmt,NA,1680,96.01%,3.99%,0.0%,0.0%,3.99%,3.04%
StmtDeletion,for,NA,700,0.0%,100.0%,6.86%,48.0%,45.14%,16.0%
StmtDeletion,return,NA,1749,77.42%,22.58%,0.57%,9.66%,12.35%,6.52%
StmtDeletion,while,NA,175,44.0%,56.0%,1.71%,21.14%,33.14%,8.0%
StmtDeletion,continue,NA,4,0.0%,100.0%,0.0%,0.0%,100.0%,25.0%
StmtReplacement,decl_stmt,expr_stmt,5915,96.03%,3.97%,0.0%,0.02%,3.96%,3.35%
StmtReplacement,decl_stmt,for,2198,95.63%,4.37%,0.0%,0.0%,4.37%,4.0%
StmtReplacement,decl_stmt,decl_stmt,3713,95.23%,4.77%,0.0%,0.0%,4.77%,3.29%
StmtReplacement,decl_stmt,if,2891,96.85%,3.15%,0.0%,0.0%,3.15%,2.56%
StmtReplacement,decl_stmt,return,3258,96.81%,3.19%,0.0%,0.0%,3.19%,2.42%
StmtReplacement,decl_stmt,while,482,97.51%,2.49%,0.0%,0.0%,2.49%,2.07%
StmtReplacement,decl_stmt,continue,50,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtReplacement,return,for,1308,88.91%,11.09%,0.15%,3.59%,7.34%,5.28%
StmtReplacement,return,expr_stmt,3102,85.17%,14.83%,0.64%,7.32%,6.87%,4.51%
StmtReplacement,return,decl_stmt,3393,86.44%,13.56%,0.0%,3.86%,9.7%,5.31%
StmtReplacement,return,if,3499,82.62%,17.38%,0.11%,3.03%,14.23%,7.83%
StmtReplacement,return,return,3211,27.56%,72.44%,8.38%,28.62%,35.44%,15.42%
StmtReplacement,return,while,253,49.41%,50.59%,0.0%,5.53%,45.06%,24.11%
StmtReplacement,return,continue,19,63.16%,36.84%,0.0%,36.84%,0.0%,0.0%
StmtReplacement,for,for,838,77.45%,22.55%,0.36%,8.47%,13.72%,6.8%
StmtReplacement,for,decl_stmt,2201,78.96%,21.04%,1.32%,7.22%,12.49%,6.22%
StmtReplacement,for,expr_stmt,2450,75.02%,24.98%,1.67%,12.29%,11.02%,5.47%
StmtReplacement,for,return,1333,86.8%,13.2%,1.05%,1.73%,10.43%,5.7%
